79019	39931
658893	75628
32469	56711
852469	92094
42225	45787
43800	47066
5415	56496
60210	47329
658893	75628
3921	99342
172816	51688
91593	45490
15089	26629
302389	46795
663862	58003
658893	75628
44445	54807
46478	41561
161637	49037
13060	47421
48115	188052
212052	44350
169294	51988
11788	35624
52527	42718
10281	58338
15245	43911
14364	40908
24535	46074
23573	75670
20407	28734
1537058	48452
1537058	48452
4927	30743
126275	65688
51478	45507
120228	56923
91593	45490
31034	48504
527972	38155
527972	38155
527972	38155
3057	44336
26912	49143
237517	45812
38131	37200
42018	79349
1537058	48452
1537058	48452
1537058	48452
1537058	48452
37499	37555
126275	65688
41075	45765
51847	56579
27414	88523
53111	44570
24599	91967
852469	92094
852469	92094
154612	74723
10209	31216
85841	80166
44669	69074
8720	44603
98596	54307
5406	43008
130307	72697
16337	40396
55747	92312
105112	58547
149643	60984
445830	56079
445830	56079
445830	56079
60210	47329
60210	47329
5973	37812
4311	39200
107201	67002
37355	46850
658893	75628
10699	75372
48284	98917
622793	44165
38856	71467
60858	144018
44965	177834
39146	37654
95109	56564
95109	56564
20640	54900
33393	43592
99393	72242
1746	45570
619360	60892
161637	49037
37303	55069
16552	66060
84080	52905
11888	58950
27941	44975
15427	222674
150575	86775
150575	86775
59285	112492
38572	47942
205159	52437
76347	55105
16255	38120
49218	54017
59610	45062
19256	38530
212052	44350
19435	64275
169294	51988
169294	51988
10953	47301
8245	53726
7568	62957
6304	63663
43806	56752
527972	38155
527972	38155
527972	38155
527972	38155
527972	38155
527972	38155
28549	45965
230512	75346
230512	75346
230512	75346
230512	75346
27547	67686
166934	66308
166934	66308
166934	66308
40958	48210
464704	49177
464704	49177
1537058	48452
1537058	48452
1537058	48452
1537058	48452
1537058	48452
39364	38208
254276	75562
126275	65688
75664	73164
75664	73164
54695	128351
67673	91812
174170	62329
14403	154360
89180	45598
89180	45598
3154	33597
63364	60207
120228	56923
6786	28820
75332	125832
12878	32302
12371	111691
128615	72312
1015785	91451
4861	29904
485199	52151
485199	52151
485199	52151
228758	112263
45902	74122
8679	66422
9644	72671
27930	89207
61762	51844
42108	135649
852469	92094
852469	92094
852469	92094
852469	92094
852469	92094
852469	92094
37567	91161
106094	81355
82881	97750
156677	52334
20470	83786
67009	96822
21529	45189
14570	160920
7558	33041
55005	84667
302389	46795
4776	41515
122192	108886
122192	108886
127522	72114
89351	59070
89351	59070
44669	69074
44669	69074
11329	47859
62138	84921
10514	44375
36765	65760
9840	52218
27631	58922
105112	58547
