154612	74723
10209	31216
85841	80166
44669	69074
8720	44603
98596	54307
5406	43008
130307	72697
16337	40396
55747	92312
105112	58547
149643	60984
445830	56079
445830	56079
445830	56079
60210	47329
60210	47329
5973	37812
4311	39200
107201	67002
37355	46850
658893	75628
10699	75372
48284	98917
622793	44165
38856	71467
60858	144018
44965	177834
39146	37654
95109	56564
95109	56564
20640	54900
33393	43592
99393	72242
1746	45570
619360	60892
161637	49037
37303	55069
16552	66060
84080	52905
11888	58950
27941	44975
15427	222674
150575	86775
150575	86775
59285	112492
38572	47942
205159	52437
76347	55105
16255	38120
49218	54017
59610	45062
19256	38530
212052	44350
19435	64275
169294	51988
169294	51988
10953	47301
32480	49825
32480	49825
353108	49142
353108	49142
353108	49142
156480	61514
9038	80129
33008	54833
658893	75628
658893	75628
658893	75628
658893	75628
658893	75628
11704	71437
67148	60548
57646	109499
57646	109499
71452	67623
24287	97548
35970	107142
10264	64822
67752	87223
6058	94103
4167	90982
55197	76702
9513	61627
65937	97377
24125	65709
2538	37108
86395	85091
99615	102431
4594	29291
8519	43748
14875	38989
22469	45563
7088	36076
3806	34428
8036	40042
59465	33518
13026	41354
1886	40433
8422	58619
35272	37702
99393	72242
22692	47848
619360	60892
619360	60892
619360	60892
619360	60892
619360	60892
619360	60892
84080	52905
26289	90211
9074	36523
109892	46457
4940	31583
9521	42161
16039	40978
9543	46057
160561	45927
27941	44975
72638	49702
13601	122834
24483	107317
24483	107317
24483	107317
27822	125003
41008	78721
207627	102501
41055	132008
150575	86775
59285	112492
8996	36040
23293	106777
13165	60667
205159	52437
668342	80349
668342	80349
668342	80349
136426	98804
17899	73148
2123	32250
93425	62174
93357	44050
125560	66790
98404	68656
13505	55878
11140	41146
16140	37673
34056	97661
59610	45062
33261	51433
212052	44350
39105	63602
39105	63602
169294	51988
3659	35801
32081	40290
62845	58116
7642	52362
